"date","home.team","home.score","away.team","away.score"
2018-09-25,"Espanol",9,"Eibar",8
2018-09-25,"Sociedad",16,"Vallecano",11
2018-09-26,"Ath Bilbao",12,"Villarreal",19
2018-09-26,"Leganes",10,"Barcelona",9
2018-09-26,"Sevilla",16,"Real Madrid",21
2018-09-26,"Valencia",14,"Celta",9
2018-09-27,"Alaves",15,"Getafe",13
2018-09-27,"Girona",8,"Betis",14
2018-09-27,"Valladolid",20,"Levante",9
2018-09-28,"Vallecano",11,"Espanol",12
2018-09-29,"Barcelona",20,"Ath Bilbao",8
2018-09-29,"Eibar",15,"Sevilla",7
2018-09-29,"Real Madrid",15,"Ath Madrid",8
2018-09-29,"Sociedad",10,"Valencia",9
2018-09-30,"Betis",17,"Leganes",11
2018-09-30,"Huesca",13,"Girona",14
2018-09-30,"Levante",14,"Alaves",14
2018-09-30,"Villarreal",27,"Valladolid",9
2018-10-01,"Celta",8,"Getafe",12
2018-10-05,"Ath Bilbao",13,"Sociedad",6
2018-10-06,"Alaves",8,"Real Madrid",13
2018-10-06,"Getafe",15,"Levante",12
2018-10-06,"Girona",10,"Eibar",12
2018-10-06,"Leganes",13,"Vallecano",6
2018-10-07,"Ath Madrid",13,"Betis",5
2018-10-07,"Espanol",28,"Villarreal",13
2018-10-07,"Sevilla",12,"Celta",13
2018-10-07,"Valencia",10,"Barcelona",10
2018-10-07,"Valladolid",9,"Huesca",11
2018-10-19,"Celta",19,"Alaves",9
2018-10-20,"Barcelona",23,"Sevilla",19
2018-10-20,"Real Madrid",34,"Levante",6
2018-10-20,"Valencia",18,"Leganes",7
2018-10-20,"Villarreal",18,"Ath Madrid",15
2018-10-21,"Betis",20,"Valladolid",6
2018-10-21,"Eibar",18,"Ath Bilbao",6
2018-10-21,"Huesca",10,"Espanol",6
2018-10-21,"Vallecano",10,"Getafe",5
2018-10-22,"Sociedad",14,"Girona",12
2018-10-24,"Vallecano",11,"Ath Bilbao",12
2018-10-26,"Valladolid",15,"Espanol",11
2018-10-27,"Ath Bilbao",13,"Valencia",11
2018-10-27,"Ath Madrid",14,"Sociedad",7
2018-10-27,"Celta",10,"Eibar",17
2018-10-27,"Girona",14,"Vallecano",14
2018-10-27,"Levante",9,"Leganes",21
2018-10-28,"Alaves",19,"Villarreal",9
2018-10-28,"Barcelona",13,"Real Madrid",15
2018-10-28,"Getafe",16,"Betis",7
2018-10-28,"Sevilla",15,"Huesca",11
2018-11-03,"Leganes",8,"Ath Madrid",9
2018-11-03,"Real Madrid",16,"Valladolid",12
2018-11-03,"Valencia",27,"Girona",5
2018-11-03,"Vallecano",11,"Barcelona",9
2018-11-04,"Betis",14,"Celta",14
2018-11-04,"Eibar",23,"Alaves",9
2018-11-04,"Huesca",18,"Getafe",8
2018-11-04,"Sociedad",10,"Sevilla",8
2018-11-04,"Villarreal",23,"Levante",13
2018-11-05,"Espanol",8,"Ath Bilbao",10
2018-11-09,"Levante",17,"Sociedad",15
2018-11-10,"Ath Madrid",9,"Ath Bilbao",6
2018-11-10,"Getafe",17,"Valencia",7
2018-11-10,"Girona",5,"Leganes",10
2018-11-10,"Valladolid",9,"Eibar",16
2018-11-11,"Alaves",13,"Huesca",9
2018-11-11,"Barcelona",20,"Betis",15
2018-11-11,"Celta",15,"Real Madrid",14
2018-11-11,"Sevilla",23,"Espanol",15
2018-11-11,"Vallecano",15,"Villarreal",11
2018-11-23,"Leganes",13,"Alaves",7
2018-11-24,"Ath Madrid",3,"Barcelona",8
2018-11-24,"Eibar",14,"Real Madrid",9
2018-11-24,"Huesca",32,"Levante",5
2018-11-24,"Valencia",13,"Vallecano",13
2018-11-25,"Ath Bilbao",8,"Getafe",15
2018-11-25,"Espanol",18,"Girona",16
2018-11-25,"Sevilla",17,"Valladolid",13
2018-11-25,"Villarreal",13,"Betis",13
2018-11-26,"Sociedad",15,"Celta",6
2018-11-30,"Vallecano",5,"Eibar",13
2018-12-01,"Celta",12,"Huesca",8
2018-12-01,"Getafe",14,"Espanol",8
2018-12-01,"Real Madrid",13,"Valencia",7
2018-12-01,"Valladolid",20,"Leganes",14
2018-12-02,"Alaves",11,"Sevilla",14
2018-12-02,"Barcelona",16,"Villarreal",12
2018-12-02,"Betis",6,"Sociedad",6
2018-12-02,"Girona",13,"Ath Madrid",17
2018-12-03,"Levante",17,"Ath Bilbao",12
2018-12-07,"Leganes",17,"Getafe",6
2018-12-08,"Ath Madrid",12,"Alaves",13
2018-12-08,"Espanol",15,"Barcelona",17
2018-12-08,"Valencia",16,"Sevilla",11
2018-12-08,"Villarreal",13,"Celta",14
2018-12-09,"Betis",8,"Vallecano",12
2018-12-09,"Eibar",32,"Levante",14
2018-12-09,"Huesca",11,"Real Madrid",5
2018-12-09,"Sociedad",23,"Valladolid",10
2018-12-10,"Ath Bilbao",25,"Girona",3
2018-12-14,"Celta",15,"Leganes",5
2018-12-15,"Eibar",18,"Valencia",11
2018-12-15,"Getafe",9,"Sociedad",9
2018-12-15,"Real Madrid",9,"Vallecano",11
2018-12-15,"Valladolid",8,"Ath Madrid",14
2018-12-16,"Espanol",10,"Betis",12
2018-12-16,"Huesca",30,"Villarreal",10
2018-12-16,"Levante",20,"Barcelona",16
2018-12-16,"Sevilla",17,"Girona",8
2018-12-17,"Alaves",11,"Ath Bilbao",6
2018-12-21,"Girona",12,"Getafe",5
2018-12-21,"Sociedad",18,"Alaves",9
2018-12-22,"Ath Bilbao",8,"Valladolid",5
2018-12-22,"Ath Madrid",8,"Espanol",18
2018-12-22,"Barcelona",9,"Celta",11
2018-12-22,"Betis",4,"Eibar",15
2018-12-23,"Leganes",13,"Sevilla",8
2018-12-23,"Valencia",19,"Huesca",11
2018-12-23,"Vallecano",18,"Levante",12
2019-01-03,"Villarreal",12,"Real Madrid",14
2019-01-04,"Espanol",12,"Leganes",10
2019-01-04,"Levante",19,"Girona",9
2019-01-05,"Alaves",14,"Valencia",14
2019-01-05,"Huesca",11,"Betis",7
2019-01-05,"Valladolid",12,"Vallecano",9
2019-01-06,"Eibar",24,"Villarreal",7
2019-01-06,"Getafe",10,"Barcelona",12
2019-01-06,"Real Madrid",28,"Sociedad",12
2019-01-06,"Sevilla",15,"Ath Madrid",12
2019-01-07,"Celta",17,"Ath Bilbao",8
2019-01-11,"Vallecano",11,"Celta",13
2019-01-12,"Girona",9,"Alaves",15
2019-01-12,"Leganes",14,"Huesca",9
2019-01-12,"Valencia",17,"Valladolid",6
2019-01-12,"Villarreal",17,"Getafe",9
2019-01-13,"Ath Bilbao",10,"Sevilla",10
2019-01-13,"Ath Madrid",19,"Levante",7
2019-01-13,"Barcelona",7,"Eibar",15
2019-01-13,"Betis",9,"Real Madrid",14
2019-01-14,"Sociedad",9,"Espanol",21
2019-01-18,"Getafe",12,"Alaves",6
2019-01-19,"Celta",12,"Valencia",13
2019-01-19,"Huesca",14,"Ath Madrid",15
2019-01-19,"Real Madrid",23,"Sevilla",4
2019-01-20,"Barcelona",15,"Leganes",5
2019-01-20,"Betis",12,"Girona",8
2019-01-20,"Levante",13,"Valladolid",13
2019-01-20,"Vallecano",11,"Sociedad",10
2019-01-20,"Villarreal",3,"Ath Bilbao",9
2019-01-21,"Eibar",16,"Espanol",6
2019-01-26,"Ath Madrid",10,"Getafe",6
2019-01-26,"Leganes",9,"Eibar",5
2019-01-26,"Sevilla",23,"Levante",7
2019-01-26,"Valencia",18,"Villarreal",14
2019-01-27,"Ath Bilbao",11,"Betis",8
2019-01-27,"Espanol",13,"Real Madrid",16
2019-01-27,"Girona",13,"Barcelona",15
2019-01-27,"Sociedad",8,"Huesca",8
2019-01-27,"Valladolid",19,"Celta",8
2019-01-28,"Alaves",16,"Vallecano",14
2019-02-01,"Huesca",11,"Valladolid",9
