"","Date","HomeTeam","HS","AwayTeam","AS"
"373",18-05-19,"Leganes",8,"Betis",16
"374",18-05-19,"Malaga",6,"Getafe",11
"375",18-05-19,"Sevilla",20,"Alaves",10
"376",18-05-19,"Villarreal",14,"Real Madrid",15
"377",18-05-20,"Ath Bilbao",12,"Espanol",11
"378",18-05-20,"Ath Madrid",8,"Eibar",14
"379",18-05-20,"Barcelona",12,"Sociedad",13
"380",18-05-20,"Valencia",22,"La Coruna",12
"381",2018-08-17,"Betis",22,"Levante",6
"382",2018-08-17,"Girona",13,"Valladolid",2
"383",2018-08-18,"Barcelona",25,"Alaves",3
"384",2018-08-18,"Celta",12,"Espanol",14
"385",2018-08-18,"Villarreal",16,"Sociedad",8
"386",2018-08-19,"Eibar",18,"Huesca",8
"387",2018-08-19,"Real Madrid",10,"Getafe",4
"388",2018-08-19,"Vallecano",13,"Sevilla",17
"389",2018-08-20,"Ath Bilbao",17,"Leganes",12
"390",2018-08-20,"Valencia",13,"Ath Madrid",9
"391",2018-08-24,"Getafe",7,"Eibar",9
"392",2018-08-24,"Leganes",18,"Sociedad",7
"393",2018-08-25,"Alaves",16,"Betis",13
"394",2018-08-25,"Ath Madrid",9,"Vallecano",13
"395",2018-08-25,"Valladolid",7,"Barcelona",10
"396",2018-08-26,"Espanol",19,"Valencia",16
"397",2018-08-26,"Girona",10,"Real Madrid",20
"398",2018-08-26,"Sevilla",19,"Villarreal",14
"399",2018-08-27,"Ath Bilbao",14,"Huesca",9
"400",2018-08-27,"Levante",15,"Celta",21
"401",2018-08-31,"Eibar",8,"Sociedad",7
"402",2018-08-31,"Getafe",12,"Valladolid",7
"403",2018-08-31,"Villarreal",13,"Girona",14
"404",2018-09-01,"Celta",10,"Ath Madrid",9
"405",2018-09-01,"Real Madrid",17,"Leganes",8
"406",2018-09-02,"Alaves",8,"Espanol",11
"407",2018-09-02,"Barcelona",31,"Huesca",7
"408",2018-09-02,"Betis",11,"Sevilla",8
"409",2018-09-02,"Levante",13,"Valencia",18
"410",2018-09-14,"Huesca",14,"Vallecano",14
"411",2018-09-15,"Ath Bilbao",11,"Real Madrid",16
"412",2018-09-15,"Ath Madrid",18,"Eibar",12
"413",2018-09-15,"Sociedad",8,"Barcelona",12
"414",2018-09-15,"Valencia",12,"Betis",11
"415",2018-09-16,"Espanol",22,"Levante",16
"416",2018-09-16,"Leganes",16,"Villarreal",9
"417",2018-09-16,"Sevilla",15,"Getafe",10
"418",2018-09-16,"Valladolid",15,"Alaves",10
"419",2018-09-17,"Girona",11,"Celta",20
"420",2018-09-21,"Huesca",13,"Sociedad",7
"421",2018-09-22,"Celta",12,"Valladolid",14
"422",2018-09-22,"Eibar",14,"Leganes",4
"423",2018-09-22,"Getafe",11,"Ath Madrid",7
"424",2018-09-22,"Real Madrid",19,"Espanol",10
"425",2018-09-22,"Vallecano",13,"Alaves",11
"426",2018-09-23,"Barcelona",22,"Girona",7
"427",2018-09-23,"Betis",15,"Ath Bilbao",7
"428",2018-09-23,"Levante",19,"Sevilla",20
"429",2018-09-23,"Villarreal",11,"Valencia",12
"430",2018-09-25,"Ath Madrid",17,"Huesca",8
"431",2018-09-25,"Espanol",9,"Eibar",8
"432",2018-09-25,"Sociedad",16,"Vallecano",11
"433",2018-09-26,"Ath Bilbao",12,"Villarreal",19
"434",2018-09-26,"Leganes",10,"Barcelona",9
"435",2018-09-26,"Sevilla",16,"Real Madrid",21
"436",2018-09-26,"Valencia",14,"Celta",9
"437",2018-09-27,"Alaves",15,"Getafe",13
"438",2018-09-27,"Girona",8,"Betis",14
"439",2018-09-27,"Valladolid",20,"Levante",9
"440",2018-09-28,"Vallecano",11,"Espanol",12
"441",2018-09-29,"Barcelona",20,"Ath Bilbao",8
"442",2018-09-29,"Eibar",15,"Sevilla",7
"443",2018-09-29,"Real Madrid",15,"Ath Madrid",8
"444",2018-09-29,"Sociedad",10,"Valencia",9
"445",2018-09-30,"Betis",17,"Leganes",11
"446",2018-09-30,"Huesca",13,"Girona",14
"447",2018-09-30,"Levante",14,"Alaves",14
"448",2018-09-30,"Villarreal",27,"Valladolid",9
"449",2018-10-01,"Celta",8,"Getafe",12
"450",2018-10-05,"Ath Bilbao",13,"Sociedad",6
"451",2018-10-06,"Alaves",8,"Real Madrid",13
"452",2018-10-06,"Getafe",15,"Levante",12
"453",2018-10-06,"Girona",10,"Eibar",12
"454",2018-10-06,"Leganes",13,"Vallecano",6
"455",2018-10-07,"Ath Madrid",13,"Betis",5
"456",2018-10-07,"Espanol",28,"Villarreal",13
"457",2018-10-07,"Sevilla",12,"Celta",13
"458",2018-10-07,"Valencia",10,"Barcelona",10
"459",2018-10-07,"Valladolid",9,"Huesca",11
"460",2018-10-19,"Celta",19,"Alaves",9
"461",2018-10-20,"Barcelona",23,"Sevilla",19
"462",2018-10-20,"Real Madrid",34,"Levante",6
"463",2018-10-20,"Valencia",18,"Leganes",7
"464",2018-10-20,"Villarreal",18,"Ath Madrid",15
"465",2018-10-21,"Betis",20,"Valladolid",6
"466",2018-10-21,"Eibar",18,"Ath Bilbao",6
"467",2018-10-21,"Huesca",10,"Espanol",6
"468",2018-10-21,"Vallecano",10,"Getafe",5
"469",2018-10-22,"Sociedad",14,"Girona",12
"470",2018-10-24,"Vallecano",11,"Ath Bilbao",12
"471",2018-10-26,"Valladolid",15,"Espanol",11
"472",2018-10-27,"Ath Bilbao",13,"Valencia",11
"473",2018-10-27,"Ath Madrid",14,"Sociedad",7
"474",2018-10-27,"Celta",10,"Eibar",17
"475",2018-10-27,"Girona",14,"Vallecano",14
"476",2018-10-27,"Levante",9,"Leganes",21
"477",2018-10-28,"Alaves",19,"Villarreal",9
